X,Y,Z
4298771.589999999850988,5506787.559999999590218,143.340000000000003
4298772.379999999888241,5506787.919999999925494,142.860000000000014
4298773.219999999739230,5506788.349999999627471,142.555000000000007
4298774.080000000074506,5506788.839999999850988,142.485000000000014
4298774.929999999701977,5506789.360000000335276,142.532999999999987
4298775.759999999776483,5506789.900000000372529,142.585000000000008
4298776.610000000335276,5506790.400000000372529,142.668000000000006
4298777.540000000037253,5506790.759999999776483,142.733000000000004
4298778.469999999739230,5506791.070000000298023,142.883000000000010
4298779.320000000298023,5506791.419999999925494,143.235000000000014
4298780.099999999627471,5506791.780000000260770,143.740000000000009
4298765.690000000409782,5506786.370000000111759,144.194999999999993
4298770.440000000409782,5506789.620000000111759,143.340000000000003
4298771.230000000447035,5506790.000000000000000,142.876000000000005
4298772.059999999590218,5506790.440000000409782,142.580999999999989
4298772.910000000149012,5506790.950000000186265,142.510999999999996
4298773.740000000223517,5506791.480000000447035,142.550999999999988
4298774.559999999590218,5506792.040000000037253,142.592999999999989
4298775.400000000372529,5506792.559999999590218,142.665999999999997
4298776.299999999813735,5506792.940000000409782,142.729000000000013
4298777.219999999739230,5506793.279999999329448,142.878999999999991
4298778.070000000298023,5506793.650000000372529,143.233000000000004
4298778.839999999850988,5506794.019999999552965,143.740000000000009
4298784.379999999888241,5506792.320000000298023,145.139999999999986
4298759.790000000037253,5506785.169999999925494,145.050000000000011
4298763.169999999925494,5506792.379999999888241,144.193000000000012
4298769.290000000037253,5506791.679999999701977,143.340000000000003
4298770.070000000298023,5506792.080000000074506,142.891999999999996
4298770.900000000372529,5506792.540000000037253,142.605999999999995
4298771.730000000447035,5506793.059999999590218,142.537000000000006
4298772.559999999590218,5506793.599999999627471,142.568999999999988
4298773.360000000335276,5506794.179999999701977,142.602000000000004
4298774.179999999701977,5506794.719999999739230,142.664999999999992
4298775.059999999590218,5506795.120000001043081,142.724999999999994
4298775.959999999962747,5506795.480000000447035,142.876000000000005
4298776.799999999813735,5506795.870000000111759,143.229999999999990
4298777.559999999590218,5506796.250000000000000,143.740000000000009
4298788.250000000000000,5506797.360000001266599,146.520000000000010
4298790.830000000074506,5506791.910000000149012,146.539999999999992
4298744.962964534759521,5506780.779071119613945,144.789999999999992
4298755.870000000111759,5506790.730000000447035,144.875000000000000
4298759.309999999590218,5506798.809999999590218,144.018000000000001
4298765.669999999925494,5506797.750000000000000,143.335000000000008
4298766.919999999925494,5506795.750000000000000,143.337999999999994
4298768.129999999888241,5506793.730000000447035,143.340000000000003
4298768.910000000149012,5506794.150000000372529,142.907000000000011
4298769.719999999739230,5506794.629999999888241,142.632000000000005
4298770.549999999813735,5506795.160000000149012,142.562999999999988
4298771.360000000335276,5506795.719999999739230,142.586999999999989
4298772.150000000372529,5506796.309999999590218,142.610000000000014
4298772.950000000186265,5506796.870000000111759,142.663000000000011
4298773.820000000298023,5506797.299999999813735,142.722000000000008
4298774.709999999962747,5506797.690000000409782,142.872999999999990
4298775.530000000260770,5506798.099999999627471,143.228000000000009
4298776.290000000037253,5506798.490000000223517,143.740000000000009
4298778.139999999664724,5506802.410000000149012,144.810000000000002
4298785.450000000186265,5506802.709999999962747,146.501000000000005
4298793.769999999552965,5506804.259999999776483,146.750000000000000
4298796.799999999813735,5506799.059999999590218,146.750000000000000
4298799.620000000111759,5506793.759999999776483,146.769000000000005
4298727.160000000149012,5506778.089999999850988,144.719999999999999
4298732.370000000111759,5506792.169999999925494,144.699999999999989
4298751.950000000186265,5506796.290000000037253,144.699999999999989
4298756.309999999590218,5506801.019999999552965,144.014999999999986
4298761.900000000372529,5506803.740000000223517,143.330000000000013
4298763.160000000149012,5506801.750000000000000,143.330999999999989
4298764.410000000149012,5506799.750000000000000,143.332999999999998
4298766.459999999962747,5506798.219999999739230,142.936000000000007
4298765.200000000186265,5506800.240000000223517,142.949999999999989
4298767.700000000186265,5506796.200000000186265,142.921999999999997
4298768.509999999776483,5506796.700000001117587,142.657000000000011
4298769.339999999850988,5506797.250000000000000,142.587999999999994
4298770.150000000372529,5506797.830000000074506,142.605999999999995
4298770.929999999701977,5506798.440000000409782,142.619000000000000
4298771.719999999739230,5506799.019999999552965,142.662000000000006
4298772.589999999850988,5506799.490000000223517,142.718999999999994
4298773.459999999962747,5506799.900000000372529,142.872000000000014
4298774.290000000037253,5506800.330000000074506,143.228000000000009
4298775.040000000037253,5506800.740000000223517,143.741999999999990
4298773.799999999813735,5506802.990000000223517,143.744000000000000
4298772.549999999813735,5506805.230000000447035,143.747000000000014
4298782.459999999962747,5506807.950000000186265,146.484000000000009
4298790.750000000000000,5506809.459999999962747,146.744000000000000
4298808.790000000037253,5506813.059999999590218,144.930000000000007
4298811.690000000409782,5506807.770000000484288,144.969999999999999
4298814.620000000111759,5506802.490000000223517,145.010999999999996
4298817.299999999813735,5506797.080000000074506,145.062000000000012
4298715.719999999739230,5506781.940000000409782,144.740000000000009
4298725.048390707001090,5506801.619322348386049,144.610000000000014
4298739.158716883510351,5506809.725254407152534,144.650000000000006
4298744.549999999813735,5506805.799999998882413,144.560000000000002
4298748.250000000000000,5506801.040000000037253,144.629999999999995
4298752.620000000111759,5506805.780000000260770,143.944999999999993
4298759.500000000000000,5506807.799999999813735,143.330000000000013
4298760.679999999701977,5506805.750000000000000,143.330000000000013
4298762.700000000186265,5506804.290000000037253,142.979999999999990
4298761.549999999813735,5506806.379999999888241,142.967000000000013
4298763.959999999962747,5506802.269999999552965,142.965000000000003
4298767.269999999552965,5506798.750000000000000,142.681000000000012
4298766.019999999552965,5506800.789999999105930,142.705000000000013
4298764.780000000260770,5506802.839999999850988,142.729999999999990
4298768.099999999627471,5506799.320000000298023,142.611999999999995
4298768.910000000149012,5506799.919999999925494,142.622999999999990
4298769.690000000409782,5506800.559999999590218,142.627000000000010
4298770.480000000447035,5506801.169999999925494,142.661000000000001
4298771.339999999850988,5506801.660000000149012,142.715000000000003
4298772.209999999962747,5506802.110000000335276,142.870000000000005
4298773.030000000260770,5506802.559999999590218,143.227000000000004
4298771.780000000260770,5506804.790000000037253,143.227000000000004
4298771.290000000037253,5506807.480000000447035,143.748999999999995
4298770.519999999552965,5506807.019999999552965,143.227000000000004
4298779.459999999962747,5506813.190000000409782,146.466000000000008
4298787.870000000111759,5506814.740000001154840,146.671999999999997
4298805.889999999664724,5506818.360000000335276,144.891999999999996
4298810.059999999590218,5506813.240000000223517,144.949999999999989
4298819.169999999925494,5506808.639999999664724,145.110000000000014
4298831.950000000186265,5506804.959999999962747,145.139999999999986
4298736.857032475993037,5506780.779071119613945,144.780000000000001
4298699.190000000409782,5506776.759999999776483,144.879999999999995
4298705.030000000260770,5506789.600000000558794,144.800000000000011
4298705.233890118077397,5506808.524375583976507,144.610000000000014
4298722.946852765977383,5506818.731845583766699,144.710000000000008
4298732.253663647919893,5506812.727451466023922,144.740000000000009
