X	Y	Z
4298493.829	5507171.665	145.98
4298495.77	5507156.93	146.197
4298497.132	5507185.775	145.699
4298498.16	5507151.38	146.292
4298499.233	5507198.685	145.318
4298499.63	5507145.49	146.46
4298500.434	5507162.058	144.906
4298500.48	5507177.64	144.95
4298501.68	5507139.79	146.541
4298502.761	5507213.921	145.19
4298503.83	5507134.11	146.642
4298503.92	5507142.74	146.01
4298504.62	5507169.58	145.214
4298505.763	5507194.707	144.38
4298505.81	5507128.37	146.759
4298506	5507182	144.76
4298507.59	5507122.57	146.888
4298507.67	5507157.27	145.12
4298509.37	5507116.77	147.007
4298509.966	5507206.716	151.6
4298511.11	5507110.95	147.089
4298512.72	5507173.19	144.63
4298512.95	5507105.16	147.168
4298514	5507183	143.7
4298514.67	5507124.23	146.02
4298515	5507096	147.37
4298515.37	5507195.307	144.17
4298515.37	5507136.56	145.52
4298517	5507112.08	146.53
4298517.171	5507221.126	147.73
4298518	5507083	147.6
4298519.56	5507077.29	147.73
4298519.89	5507183.44	143.253
4298521.04	5507071.56	147.859
4298521.63	5507065.67	147.983
4298522.5	5507059.83	148.148
4298523.15	5507091.12	146.84
4298523.176	5507207.917	144.55
4298523.31	5507155.87	145.024
4298523.43	5507103.29	146.481
4298523.83	5507054.06	148.384
4298525.07	5507048.28	148.617
4298525.66	5507042.39	148.841
4298525.69	5507167.27	144.23
4298526.33	5507036.51	149.05
4298526.68	5507100.42	146.35
4298526.72	5506928.23	150.449
4298526.778	5507190.504	144.28
4298527.11	5507030.64	149.238
4298527.9	5507024.77	149.425
4298528	5506900	144.42
4298528.03	5506934.15	150.247
4298528.705	5506868.268	143.686
4298529	5506905	144.46
4298529.01	5507018.96	149.526
4298529.34	5507178.4	143.561
4298529.35	5506940.07	150.122
4298529.49	5507057.64	146.54
4298529.5	5507073.14	146.09
4298530	5506852	144.07
4298530	5506908	144.6
4298530	5506916	144.92
4298530.09	5507013.14	149.571
4298530.381	5507226.53	149.52
4298530.5	5506946.02	149.969
4298530.67	5507007.25	149.371
4298530.806	5506876.074	144.173
4298530.806	5506829.24	143.709
4298531	5507001.35	149.207
4298531.106	5506891.385	144.1
4298531.21	5506921.94	145.086
4298531.6	5506951.98	149.82
4298531.845	5506997.2	149.27
4298532	5506858	144.103
4298532	5506988.12	149.38
4298532	5506958	149.69
4298532.13	5506982.07	149.457
4298532.16	5506896.92	144.187
4298532.445	5506992.697	149.166
4298532.52	5506927.86	145.184
4298532.65	5506899.76	144.26
4298532.96	5507135.05	145.21
4298532.99	5506976.07	149.5
4298533	5506903.62	144.379
4298533	5506909.5	144.66
4298533	5506970	149.56
4298533	5506963.94	149.621
4298533.18	5507173.8	143.511
4298533.37	5507114.37	145.608
4298533.383	5507209.718	144.22
4298533.48	5506933.84	145.508
4298533.75	5506817.49	144.22
4298533.796	5507047.337	147.771
4298533.88	5506915.3	144.892
4298533.93	5507196.81	143.41
4298534	5506864	144.137
4298534.109	5506841.849	143.742
4298534.34	5507025.64	147.17
4298534.92	5506990.25	148.807
4298534.98	5506945.87	146.302
4298535.59	5506951.9	146.629
4298535.61	5506884.18	144.07
4298536	5506870	144.17
4298536	5506964.01	147.046
4298536.42	5507163.67	143.91
4298536.6	5506984.58	148.294
4298536.78	5506893.48	144.115
4298537.12	5507169.29	143.539
4298537.29	5507087.29	145.29
4298537.31	5506903.25	144.15
4298537.43	5506784.12	144.56
4298537.549	5507006.657	147.512
4298537.61	5507114.61	145.214
4298537.76	5506919.43	143.91
4298537.81	5506944.31	146.218
4298538.11	5507040.17	146.02
4298538.12	5506926.58	144.743
4298538.17	5506911.17	144.01
4298538.42	5506950.15	146.534
4298538.53	5506984.73	146.997
4298538.599	5507017.765	147.68
4298538.674	5506972.582	147.416
4298538.94	5506831.56	144.18
4298539	5506978.88	146.944
4298539.12	5507124	144.92
4298539.34	5507102.04	144.87
4298539.36	5506932.45	144.876
4298539.388	5507183.899	143.7
4298540.251	5506995.098	147.083
4298540.401	5506999.902	147.312
4298540.82	5506938.26	144.9
4298540.83	5506949.15	145.89
4298541.02	5507070.29	145
4298541.189	5507222.928	144.26
4298541.54	5507165.49	143.545
4298541.82	5507054.61	145.11
4298542.44	5506944.03	144.924
4298542.62	5506798.2	144.45
4298542.8	5507113.92	144.63
4298542.815	5506881.478	143.49
4298542.878	5506968.829	146.97
4298543.23	5506960.28	145.98
4298544.14	5506845.64	144.03
4298544.5	5507007.19	146
4298544.679	5506985.867	146.966
4298544.79	5506976.71	146.19
4298544.8	5506949.54	144.948
4298544.917	5506889.584	143.66
4298545.16	5507114.77	144.458
4298545.46	5506991.27	145.9
4298546	5506903	143.94
4298546.46	5507190.46	143.38
4298546.57	5507109.5	144.329
4298546.718	5506925.31	143.78
4298546.718	5506932.215	143.767
4298546.85	5506955.18	144.946
4298547	5507091.57	144.253
4298547	5507097.57	144.263
4298547	5507103.57	144.273
4298547	5507085.57	144.29
4298547	5507079.57	144.345
4298547	5507073.58	144.4
4298547	5507067.58	144.455
4298547.318	5506942.422	143.749
4298547.43	5507061.6	144.516
4298547.75	5506908.82	143.835
4298547.82	5506812.29	144.37
4298547.91	5507055.62	144.578
4298548.2	5507109.61	143.455
4298548.39	5507049.64	144.641
4298548.66	5507021.76	145.23
4298548.769	5507228.106	150.66
4298548.819	5506937.919	143.757
4298548.87	5507043.66	144.703
4298548.87	5506960.82	144.942
4298549	5507103.8	143.036
4298549.33	5506859.72	143.73
4298549.51	5506914.63	143.761
4298549.56	5507037.72	144.734
4298549.69	5507097.86	142.742
4298550	5507091.89	142.636
4298550	5506895	143.47
4298550.01	5507085.89	142.628
4298550.195	5507213.921	144.19
4298550.53	5506952.33	143.683
4298550.55	5507079.92	142.542
4298550.58	5507031.81	144.759
4298550.66	5506946.67	143.683
4298550.83	5506966.49	144.932
4298551	5507073.94	142.479
4298551	5507067.94	142.531
4298551	5507061.94	142.583
4298551.34	5506920.42	143.764
4298551.4	5507055.97	142.705
4298551.44	5506972.43	144.927
4298551.47	5506964.64	143.675
4298551.51	5506778.93	144.65
4298551.59	5507025.89	144.785
4298551.64	5506900.76	143.396
4298552	5506912	142.65
4298552	5507044	142.77
4298552	5507050	142.86
4298552.02	5507040.84	143.61
4298552.21	5506978.38	144.921
4298552.48	5506957.9	143.608
4298552.6	5507019.98	144.81
4298552.8	5507034.97	143.606
4298552.98	5506984.33	144.915
4298553	5506950	142.15
4298553.02	5506826.37	144.28
4298553.17	5506926.21	143.767
4298553.25	5507163	143.391
4298553.44	5506955.32	142.143
4298553.59	5507029.1	143.602
4298553.62	5507014.07	144.835
4298553.69	5506976.23	143.653
4298553.74	5506906.36	143.38
4298553.75	5506990.28	144.909
4298553.798	5507182.098	143.21
